,count,id,len,maior,menor,mean,median,predicted
65,7,83,10,2059660337,-932301218,155320070,-20252875,2
66,7,84,10,2105288316,-1533963558,-5318408,-141169651,2
67,7,85,10,625460368,-1843486656,-385584153,-186814416,2
68,7,88,10,2017503026,-1908014906,565628555,751601361,2
69,7,90,10,2018307591,-1811908174,-318927478,-462163516,2
70,8,91,10,2074346848,-1991260392,52448321,131624907,2
71,8,93,10,2053348329,-1927226502,37431100,307857145,2
72,8,95,10,1113236889,-1962082595,-183897354,341953747,2
73,8,96,10,2147008282,-1033787035,582711414,864487522,2
74,8,97,10,1984549758,-1597669707,-217510645,-581679451,2
75,8,98,10,1688200253,-1002207561,790682440,1057964601,2
76,8,99,10,1604530524,-1985778005,190670802,155429122,2
77,8,100,10,1998075381,-2140966419,7264298,-256699295,2
78,8,101,10,1837943306,-2058293667,4351630,178652687,2
79,8,103,10,2099394200,-1853982041,287578213,473793637,2
80,9,105,10,2122595091,-1492188648,271550714,434891507,2
81,9,106,10,1709889463,-1745658646,-92096163,-65833707,2
82,9,107,10,1444762312,-2065388058,-275477982,65629044,2
83,9,108,10,1320203260,-2122528090,148395517,308840824,2
84,9,109,10,1757330401,-1691359356,-25167114,-278439800,2
85,9,111,10,1698236403,-1976755755,-205710602,-298834380,2
86,9,112,10,1871156320,-1633057323,-241989965,-583850804,2
87,9,113,10,1971056295,-1776149528,-14112964,-97365894,2
88,9,114,10,2046889586,-1879218170,223589384,213991986,2
89,9,115,10,1820804841,-901464052,58321173,120528706,2
90,10,116,10,2129173594,-1874035760,45135599,-151917380,2
91,10,119,10,1668593906,-2139412122,-269205070,-342199758,2
92,10,123,10,1984303487,-1955255241,-215182704,-590269554,2
93,10,125,10,2091960910,-2099541070,-238927355,85411059,2
94,10,126,10,1812170390,-2046765109,-186401138,-150525626,2
95,10,129,10,2036472484,-1762387302,440827717,760650241,2
96,10,130,10,1642347033,-1429858031,1922271,-357950260,2
97,10,132,10,2106536395,-2051422852,319727338,371408771,2
98,10,133,10,1845136669,-1997879288,-370017001,-511576312,2
99,10,134,10,1930458839,-1954896619,308907147,558782735,2
100,11,135,10,2035913011,-1607888371,-38636755,-263849123,2
101,11,138,10,1587229664,-2082139841,-122304792,-290009355,2
102,11,139,10,2099990866,-1615795090,493817670,781151611,2
103,11,141,10,1988468910,-2140345792,325202547,1124285508,2
104,11,142,10,1762858206,-1877208496,-229746347,-406371461,2
105,11,143,10,1432082588,-1087684144,-46064706,-142484780,2
106,11,144,10,960572933,-1376231479,-243731770,-289210387,2
107,11,145,10,2134037766,-1878062423,-628076776,-1190090625,2
108,11,146,10,1511303388,-1664964968,-334658224,-655844744,2
109,11,148,10,2117745465,-2004333500,491353114,801236187,2
110,12,149,10,1979019814,-2112648183,72825885,415529851,2
111,12,150,10,1609328849,-1739139098,-55574439,4740010,2
112,12,152,10,1925223758,-2037800036,340282869,-53224011,2
113,12,153,10,1790405211,-1995997776,-332616196,-413561696,2
114,12,155,10,1700936710,-1196253828,838628427,960479302,2
115,12,156,10,2061371290,-1558494215,-292854506,-511610778,2
116,12,157,10,1941372783,-1761369415,-199238736,-808259779,2
117,12,158,10,1874274997,-1763239916,-309507749,-657078074,2
118,12,159,10,1904411191,-1367115950,149637324,112846914,2
119,12,160,10,1800726368,-2088683696,-156022529,-360969792,2
120,13,161,10,1805731537,-2023128815,-416870947,-427867170,2
121,13,164,10,1891981411,-1547465494,-131830933,-441607276,2
122,13,167,10,2040360103,-1254678798,194896032,36059614,2
123,13,168,10,2064526280,-1626970851,-217185554,-376363303,2
124,13,169,10,2063768759,-2110815569,-101014554,-441149983,2
125,13,170,10,2146269815,-1924401957,-123926,139259565,2
126,13,172,10,1929871886,-1831700430,294128210,583048843,2
127,13,173,10,1555317005,-1749481908,41559153,-3683108,2
128,13,174,10,1750428647,-972627044,648005277,644024678,2
129,13,175,10,1415858360,-1884286985,-132115109,161835826,2
130,14,177,10,1543042411,-2094259761,-67309659,-508754530,2
131,14,178,10,1336178668,-1955879805,-673441403,-911500352,2
132,14,179,10,1947661213,-1708381011,6594775,-324185864,2
133,14,181,10,2101529915,-889025329,193175085,-118721963,2
134,14,182,10,1798616689,-2131337753,376638910,598043185,2
135,14,183,10,1760500887,-2095688305,-303094611,-516992417,2
136,14,186,10,1149310489,-2106533248,-764811968,-837459712,2
137,14,187,10,1671054669,-1936833908,212225647,402959580,2
138,14,188,10,1912996527,-1956278869,-262848452,-121372599,2
139,14,192,10,2038296654,-1450797488,-19144259,-707875047,2
140,15,194,10,1535849395,-2139235842,-874163927,-1592300348,2
141,15,196,10,1427128066,-2112279415,-113513686,-246782814,2
142,15,197,10,1993098886,-1882801388,-378198915,-648878263,2
143,15,198,10,1914972646,-1278217736,765954198,1147278616,2
144,15,199,10,2070981717,-2020926782,-248455506,-615002831,2
145,15,200,10,2043301039,-1674895172,-12710416,75331036,2
146,15,201,10,1981213272,-1800905672,-282201179,-667852994,2
147,15,203,10,2100863561,-1390017192,501795504,454226250,2
148,15,204,10,2081294534,-1367116953,365965382,445529383,2
149,15,205,10,1029897364,-1520881034,79641506,133374129,2
150,16,207,10,1566025658,-1503591778,-253926441,-596997925,2
151,16,208,10,1952308957,-931651160,249106129,-399026284,2
152,16,209,10,1389349316,-2096718228,-35920499,249009436,2
153,16,211,10,1983559014,-2079049708,-70427153,-292670927,2
154,16,212,10,2125575716,-1116271726,474092345,580559982,2
155,16,214,10,2072849457,-538037611,432281655,374285099,2
156,16,218,10,2105290104,-1862019483,-271942360,-554572757,2
157,16,219,10,2004751519,-353982646,1202664603,1589928161,2
158,16,220,10,485434836,-1398170851,-490071305,-640491187,2
159,16,222,10,1762184339,-2025176822,-568391687,-1178197701,2
160,17,224,10,1916131925,-1586018127,-159204172,-337297476,2
161,17,229,10,2094995019,-2010219441,-608349592,-989151838,2
162,17,230,10,1548125391,-1784745065,348424855,692938340,2
163,17,231,10,2068326669,-2027450522,-47441593,-323624121,2
164,17,234,10,2035678524,-1757738901,274772406,767954849,2
165,17,235,10,1643458931,-2048180979,19951098,-20628720,2
166,17,236,10,1934288065,-2022453076,-209705769,-364119155,2
167,17,238,10,2015553317,-1083943145,624572639,510544022,2
168,17,239,10,1871481850,-2069583854,-237400104,-381376645,2
169,17,240,10,1411912796,-2127219686,-428766014,91747242,2
170,18,241,10,1711962414,-1323023895,180897385,395282063,2
171,18,242,10,2029711538,-1869134155,647417983,1150898717,2
172,18,243,10,1883788999,-1862534567,614203840,682516395,2
173,18,244,10,2137061172,-2060845310,-116837255,377080357,2
174,18,246,10,1509968438,-2116767086,-450391667,-490725438,2
175,18,247,10,2133040615,-1919605436,49150039,-319594400,2
176,18,248,10,1580078421,-1044953379,332347663,187681383,2
177,18,249,10,1320667504,-1954999310,-800493873,-1083247275,2
178,18,250,10,1998777084,-1931055072,257118765,535312881,2
179,18,251,10,1643190420,-792621578,436279055,468638469,2
180,19,252,10,1769090526,-2130316619,-109940972,-139295908,2
181,19,254,10,2093544623,-2023732013,-206476107,-943599957,2
182,19,257,10,2143416482,-1751786585,62324950,-69001538,2
183,19,259,10,2028464246,-1963861122,193295332,106792998,2
184,19,260,10,2095061453,-1905867293,289956884,497273597,2
185,19,261,10,2031265197,-2050274016,-114150302,-674483679,2
186,19,266,10,1970409474,-1420027224,480980780,390971755,2
187,19,267,10,1947676696,-1762703916,-119847976,-544067456,2
188,19,269,10,1908051939,-1820795346,175344281,446762619,2
189,19,271,10,1395715050,-1834749911,-439607060,-335333971,2
190,20,272,10,1953240191,-1524707862,-106122772,-648256598,2
191,20,273,10,1503622984,-1434745221,-87217428,-218037800,2
192,20,274,10,884389742,-1437939993,-548927611,-807660331,2
193,20,276,10,1929808851,-1585580610,322545518,408025657,2
194,20,277,10,2139192194,-2131473900,-564872626,-748688126,2
195,20,278,10,2024056418,-1872958932,420120600,131541619,2
196,20,279,10,1820008177,-2032981022,-253974592,226370893,2
197,20,280,10,2128464756,-2077204244,467483343,943671670,2
198,20,281,10,1987335950,-1438619916,964169769,1544778262,2
199,20,285,10,1980553839,-1851961713,-262251105,-874767295,2
200,21,290,10,1945374277,-2075861381,-111395114,-338767226,2
201,21,291,10,1499769784,-1088161957,304232204,255127057,2
202,21,292,10,1640922484,-2145517262,-868849104,-942799117,2
203,21,293,10,1897612062,-1359969894,304208298,872417612,2
204,21,294,10,1642550992,-1475667286,234917645,757793745,2
205,21,295,10,1533344723,-1977363886,-149925629,34933949,2
206,21,297,10,1186354333,-1118836782,-369180419,-641916591,2
207,21,300,10,761312073,-1950914641,-851401101,-1050260967,2
208,21,301,10,1995534839,-1495173999,393357134,232530613,2
209,21,302,10,2066646399,-584028754,818811718,630698578,2
210,22,303,10,1489236662,-2003118653,46322769,378107864,2
211,22,304,10,1989732927,-1003960521,537669394,341754645,2
212,22,305,10,1678636047,-1747618826,-23608091,238529477,2
213,22,306,10,2132729908,-1643342578,181861752,-146287929,2
214,22,308,10,1589260905,-2015045898,216855549,457139597,2
215,22,309,10,2103552088,-1259635894,970246740,1677492266,2
216,22,310,10,1796239459,-2027264381,57706010,248588664,2
217,22,312,10,1478415182,-2049237530,95465476,253844094,2
218,22,313,10,1696054822,-1555979350,-137779834,-72843003,2
219,22,314,10,1883000761,-2109594453,-127704952,-11432541,2
220,23,315,10,1628617984,-1846554330,165152062,293631260,2
221,23,316,10,1898183092,-1655998229,310841264,371724662,2
222,23,317,10,1939021318,-1349410583,420270447,142696346,2
223,23,318,10,1966159030,-2017326642,-413955708,-614725557,2
224,23,319,10,1907992734,-2112079866,-137046182,8078358,2
225,23,320,10,2028849566,-1331610888,273684066,534162747,2
226,23,321,10,2118347422,-1534711116,450728524,494213750,2
227,23,322,10,1802751785,-1782718209,-190104197,-331039664,2
228,23,323,10,1532780284,-1655109416,-184246333,160813841,2
229,23,324,10,2020647412,-1856890330,179742765,378416542,2
230,24,325,10,1117508669,-2109174104,-699292865,-1123409141,2
231,24,326,10,1820202746,-1735339027,249262573,83855678,2
232,24,327,10,2078039919,-1413574102,169251699,99301124,2
233,24,328,10,1871369186,-1427390576,557927440,966626437,2
234,24,329,10,1836013015,-1823678315,-202733250,-522655069,2
235,24,330,10,1779894849,-1774916283,-42329387,-351719584,2
236,24,331,10,2071061798,-2126343969,420439038,641400868,2
237,24,332,10,1975658728,-1976729830,234685101,228319814,2
238,24,333,10,1375371243,-1212750876,-19758535,33019982,2
239,24,335,10,704173076,-1050800314,-364225155,-453868452,2
240,25,336,10,921284608,-2092174497,-161569743,114010944,2
241,25,338,10,1668230971,-1189226597,250910615,63065312,2
242,25,339,10,1553202371,-1569527369,-390006372,-290711364,2
243,25,341,10,1384202211,-1204068813,24163747,-37197427,2
244,25,342,10,873471651,-1648800420,-410774134,-487998741,2
245,25,343,10,2144204136,-1288454688,466061285,620591538,2
246,25,344,10,2096442256,-1960757285,79515279,644080428,2
247,25,345,10,1570398788,-2001928568,-475184868,-834678483,2
248,25,346,10,2018337047,-1366537478,205901880,536646611,2
249,25,347,10,2001387417,-1561199531,349447824,253230355,2
250,26,348,10,1536328563,-1517334538,2343848,-229278307,2
251,26,349,10,2132932431,-2128757214,78147454,551133801,2
252,26,350,10,1616169860,-2132350366,259923037,707557357,2
253,26,351,10,2104594605,-1983971423,-330171516,-491696983,2
254,26,352,10,953838882,-2001239429,-779621513,-1072082961,2
255,26,354,10,1749698453,-2125753036,-263974193,-159172263,2
256,26,356,10,2131627527,-2053607641,-185489490,-311046376,2
257,26,359,10,2126760689,-2016456268,391651296,667667865,2
258,26,360,10,2062962034,-2020596300,297795745,437827556,2
259,26,361,10,1633151581,-1870533012,-244093444,-356286777,2
260,27,362,10,1232373646,-2010727053,-366607270,-550242544,2
261,27,364,10,1949757775,-1888553636,162915585,-76202992,2
262,27,365,10,2041003860,-1757078532,-18057169,56739184,2
263,27,366,10,1895456540,-1436480604,-51730209,-179953365,2
264,27,368,10,839895279,-1533288565,-451888416,-509087892,2
265,27,369,10,1953218397,-1838040860,-493550406,-606768599,2
266,27,371,10,1876081858,-1592852610,46371898,44736717,2
267,27,372,10,2145917878,-1594810447,-247098783,-805168975,2
268,27,373,10,1422293509,-1941387634,67873403,172189287,2
269,27,375,10,2048356416,-2057037089,64287782,269871028,2
270,28,377,10,1763633482,-2040132167,289394421,693521340,2
271,28,378,10,2059101320,-1799500544,-39474166,-357187347,2
272,28,380,10,2030527760,-1280763262,434435079,526951445,2
273,28,382,10,1381712550,-1932437023,59427697,251497488,2
274,28,383,10,1980124734,-1580820722,-155345822,-538731663,2
275,28,384,10,1925162253,-2073055251,-195747539,-587642680,2
276,28,385,10,2141906793,-2086485608,-622813360,-1246131366,2
277,28,386,10,1768870458,-1857083044,-141195276,-269106990,2
278,28,388,10,1863768144,-1970251333,167866336,510798088,2
279,28,389,10,1083821059,-2132740616,-526895262,-680255095,2
280,29,390,10,1535864852,-1593219662,-302284937,-511582326,2
281,29,391,10,1542651376,-1430706097,84360994,-210424505,2
282,29,392,10,1058156155,-2140126644,-165576993,81495047,2
283,29,393,10,1690227593,-1629847995,-384611263,-959520766,2
284,29,394,10,1588698727,-1795399343,133297831,734047468,2
285,29,395,10,2008349172,-1887302856,-116843633,-173015208,2
286,29,396,10,1955164660,-1854677989,-62880048,-96510761,2
287,29,397,10,1549840719,-1639093904,336979644,420765398,2
288,29,400,10,1142832322,-2030605323,-127335347,-373156714,2
289,29,401,10,2000540809,-2068071072,538267521,831731224,2
290,30,402,10,1465195186,-2095538108,-521801599,-553320493,2
291,30,403,10,1535012243,-1748299256,-121424509,233084724,2
292,30,404,10,1829991002,-750921233,663707101,749671351,2
293,30,405,10,1791237206,-1974752939,-42314141,14786170,2
294,30,406,10,1428502270,-1919869627,-331175677,-444915062,2
295,30,408,10,2050603331,-966899905,704543908,1029013504,2
296,30,409,10,1767181352,-1753675781,158143618,236582168,2
297,30,412,10,1678955062,-1587084752,-140031208,-243453376,2
298,30,413,10,1958795539,-2077285322,16063942,-208495714,2
299,30,414,10,2100451888,-1422068165,528730212,763271532,2
300,31,415,10,2024201878,-1899166812,-71229517,339661811,2
301,31,416,10,1843819789,-2097554731,-506383295,-653233943,2
302,31,417,10,1956264857,-892343792,267795774,-197670458,2
303,31,419,10,1796701687,-2076365538,-339784686,-718979494,2
304,31,421,10,1589169790,-924581081,507209295,627066943,2
305,31,422,10,1925682063,-2099008344,-161126510,323929667,2
306,31,423,10,1842885730,-1345093595,309408746,152608109,2
307,31,424,10,1195406238,-2118329657,-518289857,-567560116,2
308,31,425,10,2073782182,-1691840961,533611649,1006890910,2
309,31,426,10,1995676275,-1608543742,249496373,671569498,2
310,32,427,10,1832040401,-1925517946,124072277,625538116,2
311,32,428,10,1982180583,-2142334658,-177641909,-124577744,2
312,32,429,10,2080863001,-1749809968,58346134,302567924,2
313,32,431,10,2042274415,-2137586672,-86009343,155912292,2
314,32,433,10,1691865687,-1944123490,-142838204,86924621,2
315,32,434,10,2071785048,-1554117631,-360904726,-960199153,2
316,32,435,10,1782492091,-2065923467,-303336371,-461239483,2
317,32,436,10,2106395745,-1857171043,-157368741,-281252988,2
318,32,437,10,1564243413,-1613297553,167482949,558107155,2
319,32,438,10,2068759773,-2108347866,-565191614,-1011720871,2
320,33,441,10,2089157026,-1633638699,-201401755,-453787698,2
321,33,443,10,1384919138,-1506774613,-252151027,-159006279,2
322,33,444,10,2096329526,-844838971,1073402109,1472627689,2
323,33,445,10,2029197233,-1918316522,205049750,510198893,2
324,33,446,10,1908190286,-995920752,752952014,812240339,2
325,33,447,10,1258381698,-1834774004,6765076,-132900109,2
326,33,448,10,1656935988,-1650357993,-243603026,-404344430,2
327,33,449,10,2055864491,-1399968897,216133152,17152115,2
328,33,450,10,2106586329,-2143689807,489660830,788404910,2
329,33,452,10,1877155167,-1759646025,-319249503,-462770484,2
330,34,453,10,1316814387,-1835099889,-403193097,-425112944,2
331,34,456,10,827008179,-1882121186,-430018687,-458929125,2
332,34,457,10,1859849927,-606428219,676958142,192150292,2
333,34,458,10,1427427027,-1469515983,337904240,638466177,2
334,34,460,10,1879257170,-2113167599,146278205,689075240,2
335,34,461,10,2121650196,-1844460419,-583617247,-746596234,2
336,34,462,10,1273872318,-1380633930,-31900533,-149017605,2
337,34,463,10,2040260691,-2043481082,303076979,452667006,2
338,34,465,10,2043433724,-2065847488,-305015193,-258629268,2
339,34,466,10,1737850423,-1898722433,-227567211,-296717955,2
340,35,469,10,1236083694,-1993337354,-233982547,-132224175,2
341,35,472,10,1780397182,-2020872136,-171721206,399052478,2
342,35,475,10,438513911,-1641026644,-733990609,-733310161,2
343,35,477,10,1793455605,-1444721983,185823013,133041742,2
344,35,479,10,1668450541,-2001217057,82543651,205976212,2
345,35,480,10,1761091912,-1870414863,-225202803,-410022137,2
346,35,481,10,1019018507,-2020129040,-505980783,-287058429,2
347,35,482,10,1789849452,-1445556060,327060153,612648044,2
348,35,484,10,1702633599,-2083601411,-326104795,-323236288,2
349,35,485,10,2145452460,-2047309195,-525963000,-886025446,2
350,36,486,10,1886815979,-1106236107,509009853,363300164,2
351,36,487,10,2010181657,-1567176096,434367742,798996174,2
352,36,488,10,1488087263,-1861149902,-438975608,-315229427,2
353,36,489,10,2138535316,-1861814359,572887216,568282728,2
354,36,492,10,1938261511,-1559910703,-71300661,-242194789,2
355,36,493,10,1946621233,-2034184714,-93424156,35277263,2
356,36,494,10,1491374794,-1978384057,-288141228,410056953,2
357,36,495,10,1337653700,-1866500724,79829043,453953963,2
358,36,497,10,1615055561,-1897796231,-156542382,-122926914,2
359,36,498,10,1322204950,-2055024534,-632474972,-692271346,2
360,37,500,10,1439743373,-1982954356,-118009768,-134207789,2
361,37,501,10,2122176171,-1851058221,-98694214,-358141682,2
362,37,502,10,852541601,-1836975061,-550214291,-723488421,2
363,37,503,10,2065589506,-2091175424,474016307,988987440,2
364,37,504,10,2092133721,-2111607161,-334954735,-510856310,2
365,37,505,10,1937315602,-1874226859,423518103,499064457,2
366,37,506,10,1985831970,-2003446073,564816472,958228790,2
367,37,510,10,1825669097,-1778416803,-249652959,-632717447,2
368,37,511,10,2106566940,-1998531170,-945653009,-1644292198,2
369,37,512,10,1936166238,-2062325491,-42842980,178629653,2
370,38,513,10,1831827044,-1947305290,341098468,699254252,2
371,38,514,10,1290067489,-1770361255,486407,159174163,2
372,38,515,10,2016388976,-2043816050,235614536,912747436,2
373,38,516,10,884930919,-1872154622,-427314346,-613197207,2
374,38,518,10,1294632243,-1587011034,114796470,164471962,2
375,38,519,10,1660245799,-1549612927,204244329,270581500,2
376,38,521,10,1455506886,-1482754275,-283284489,-549929807,2
377,38,522,10,1844904810,-1860130126,184359887,385490940,2
378,38,523,10,1722363740,-1527974706,-33496761,-1323626,2
379,38,526,10,1307536297,-1485106035,-356881008,-601099955,2
380,39,527,10,1794113017,-1810812577,296033986,266889770,2
381,39,531,10,764738588,-2104350278,-546438831,-580971002,2
382,39,532,10,1762055409,-1795384436,-487982503,-955993284,2
383,39,533,10,1845725888,-1222653857,543971547,1012707638,2
384,39,534,10,1853597264,-2096547352,-30821057,355501252,2
385,39,535,10,1800007312,-1713439636,439962617,728984459,2
386,39,536,10,1447529874,-1690368957,-340567434,-651858185,2
387,39,537,10,2049146737,-2126092510,-302677279,-34759331,2
388,39,538,10,1551099708,-1740438017,-218561309,-390063140,2
389,39,539,10,316847518,-1854107691,-564220602,-412822945,2
390,40,540,10,1962537742,-1856124181,552943064,840132849,2
391,40,541,10,1596141300,-2053676455,-327094360,-224260590,2
392,40,542,10,1953525755,-1526991931,81672295,-181844977,2
393,40,544,10,1944850666,-1984591828,-239733922,-357279313,2
394,40,546,10,1852243005,-2027781616,-521712908,-649279876,2
395,40,547,10,1668871159,-1358164973,72453492,-393444615,2
396,40,548,10,1772325257,-2021901798,235808405,499097656,2
397,40,549,10,2130917273,-1063707465,652303896,813660758,2
398,40,553,10,2122952323,-1495617128,505931535,649084874,2
399,40,554,10,1888946012,-1969333768,-29061246,-82663809,2
400,41,557,10,1418842113,-2027934728,-599500436,-565394470,2
401,41,559,10,1768026665,-1668216523,75459896,329510470,2
402,41,561,10,1648623115,-1332344243,275014440,442129602,2
403,41,563,10,1765885768,-2049785197,184305342,597039039,2
404,41,564,10,2097430745,-1298356966,607844255,664092347,2
405,41,566,10,1495715275,-1895593504,40803014,38609358,2
406,41,567,10,2134068848,-2116178165,173706189,147317919,2
407,41,568,10,1247732651,-2129743190,-268710168,-188293253,2
408,41,570,10,2031148883,-1492155371,-572275354,-857527536,2
409,41,571,10,1919282884,-1851872356,-440201764,-524823195,2
410,42,572,10,1940594821,-2046776406,-317257326,-581376200,2
411,42,573,10,2067932073,-1699731620,563698118,799873137,2
412,42,576,10,1959499515,-1383638757,240034354,499703356,2
413,42,577,10,1827878444,-1858716043,3710085,235123395,2
414,42,578,10,1825722601,-1527361274,330816147,168340091,2
415,42,580,10,2101951693,-1541901125,904387129,1218788015,2
416,42,581,10,1449314189,-1764875888,-139633718,44575455,2
417,42,583,10,1794344740,-1451140212,179606374,138806872,2
418,42,584,10,1253127817,-1640935216,103396195,-62925307,2
419,42,585,10,1929466369,-1737162586,-315002545,-932975991,2
420,43,586,10,2119481094,-2002513629,-236816872,-982414032,2
421,43,588,10,2124814902,-1945687768,98876821,-44663460,2
422,43,590,10,1922568373,-1339361315,64668898,-197483925,2
423,43,591,10,1518565530,-2077755438,-162635803,-147516659,2
424,43,592,10,1516687118,-1793104358,36384463,338936911,2
425,43,593,10,1413695952,-1575145837,-426654272,-955819353,2
426,43,594,10,1651923875,-1754973698,43439440,310838669,2
427,43,596,10,2116599914,-1533077513,367283583,438855221,2
428,43,598,10,2143213864,-2091378904,-11494246,141906654,2
429,43,599,10,2076940382,-1731616576,54971870,-257444906,2
430,44,601,10,1747082240,-997712363,115137551,-116041511,2
431,44,602,10,1858933594,-1847918557,425594500,781533864,2
432,44,603,10,2038243150,-1770777942,412315933,585920517,2
433,44,604,10,1887288962,-1949838261,313992920,475441547,2
434,44,608,10,2064815091,-2013642042,446920511,901993150,2
435,44,610,10,2141267061,-1437465701,12536722,-575007874,2
436,44,611,10,2115387867,-1064022985,393360856,426859842,2
437,44,612,10,1451073731,-1575537573,-413715926,-947778276,2
438,44,614,10,1789101982,-1779359871,153028519,87454317,2
439,44,615,10,2146797951,-1864610910,58379256,-439300900,2
440,45,616,10,1828657289,-1645124329,-431365122,-890185169,2
441,45,618,10,953696208,-1936324123,-516718748,-356657969,2
442,45,620,10,334425585,-2039394048,-1108369816,-1227654706,2
443,45,621,10,1695699964,-2049829927,336717288,541719954,2
444,45,622,10,1778012983,-1873468388,-97308189,-168160926,2
445,45,625,10,1007373431,-1907732088,-434557570,-302903335,2
446,45,626,10,1811154965,-1399699356,432935070,488534903,2
447,45,627,10,1716594938,-2070205967,-195785850,-95070872,2
448,45,628,10,1721888278,-1631275525,256024466,450331101,2
449,45,632,10,1851027104,-1093841163,16416224,-482176555,2
450,46,633,10,2004309488,-758400071,14030098,-322196203,2
451,46,634,10,1779306931,-1871340116,-19011709,318877242,2
452,46,635,10,1459154618,-1933069872,-347369985,-658879628,2
453,46,636,10,1849651951,-2091629931,-96256903,-8144582,2
454,46,637,10,1802256918,-1537596450,213995838,67164838,2
455,46,638,10,1976639701,-1868931965,-76721470,124337523,2
456,46,639,10,1861370151,-1978159278,-430749401,-519947441,2
457,46,641,10,1933632006,-2046704906,-299281845,-98378914,2
458,46,643,10,1717374440,-1724443978,263318253,194280868,2
459,46,644,10,1923840053,-2000204101,-41483860,-155575695,2
460,47,645,10,1974057682,-1638719025,-208083037,-254370732,2
461,47,646,10,1696426443,-1683527555,95548711,-146516100,2
462,47,647,10,1946789124,-1511692800,235619294,479150572,2
463,47,649,10,1992322818,-1584460498,58210515,-190861795,2
464,47,651,10,1726760319,-1199208607,606752612,940841217,2
